All statistics are based on contigs of size >= 3000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    Homalodisca_vitripennis.A6A7A9_masurca_v1.sorted  Homalodisca_vitripennis.A6A7A9_masurca_v1.sorted.corrected  masurca.A6_A7_A9.flye.assembly  ragtag.scaffolds  GCA_000696855.2_Hvit_2.0_genomic
# contigs (>= 0 bp)         34909                                             71987                                                       34814                           21155             111110                          
# contigs (>= 1000 bp)      33215                                             66763                                                       33120                           19617             59570                           
# contigs (>= 5000 bp)      27656                                             49622                                                       27574                           14867             13241                           
# contigs (>= 10000 bp)     24406                                             33128                                                       24333                           12435             7359                            
# contigs (>= 25000 bp)     18522                                             18509                                                       18487                           8722              4438                            
# contigs (>= 50000 bp)     11507                                             9914                                                        11496                           5104              3132                            
Total length (>= 0 bp)      1932147428                                        1932147428                                                  1934422947                      1935788847        1445215006                      
Total length (>= 1000 bp)   1931011517                                        1929050025                                                  1933287619                      1934761508        1418424409                      
Total length (>= 5000 bp)   1914636546                                        1881992522                                                  1916950236                      1920951169        1325420810                      
Total length (>= 10000 bp)  1890480121                                        1764856414                                                  1892867371                      1903034666        1285066097                      
Total length (>= 25000 bp)  1787010917                                        1529199244                                                  1790011101                      1838500144        1240043308                      
Total length (>= 50000 bp)  1532140593                                        1223772004                                                  1536001135                      1708872862        1194181890                      
# contigs                   30304                                             56539                                                       30215                           17061             20439                           
Largest contig              1810465                                           1810465                                                     2021536                         8558461           7131305                         
Total length                1925037438                                        1909063459                                                  1927324502                      1929531851        1352784253                      
GC (%)                      32.87                                             32.86                                                       32.87                           32.87             32.65                           
N50                         119560                                            80021                                                       120335                          672405            656130                          
N75                         58472                                             32323                                                       58624                           174061            211051                          
L50                         4036                                              5636                                                        4010                            721               542                             
L75                         9876                                              15088                                                       9828                            2110              1423                            
# N's per 100 kbp           0.48                                              0.45                                                        0.48                            71.23             3005.46                         
